12:35:46.221 [INFO] (trainer.py:174) Episode = 164, T_Steps = 73710, E_Steps = 568, R = -0.6334, succ =  0.6000, FPS =  8.61
12:36:49.357 [INFO] (trainer.py:174) Episode = 165, T_Steps = 74281, E_Steps = 571, R = -0.6344, succ =  0.6000, FPS =  9.04
12:37:37.398 [INFO] (trainer.py:174) Episode = 166, T_Steps = 74685, E_Steps = 404, R = -0.7417, succ =  0.6000, FPS =  8.41
12:38:31.577 [INFO] (trainer.py:174) Episode = 167, T_Steps = 75154, E_Steps = 469, R = -0.7012, succ =  0.5500, FPS =  8.66
12:39:30.384 [INFO] (trainer.py:174) Episode = 168, T_Steps = 75660, E_Steps = 506, R = -0.6781, succ =  0.5000, FPS =  8.60
12:40:24.441 [INFO] (trainer.py:174) Episode = 169, T_Steps = 76129, E_Steps = 469, R = -0.7003, succ =  0.4500, FPS =  8.68
12:41:26.580 [INFO] (trainer.py:174) Episode = 170, T_Steps = 76670, E_Steps = 541, R = -0.6558, succ =  0.4000, FPS =  8.71
12:42:17.921 [INFO] (trainer.py:174) Episode = 171, T_Steps = 77106, E_Steps = 436, R = -0.7205, succ =  0.3500, FPS =  8.49
12:43:35.860 [INFO] (trainer.py:174) Episode = 172, T_Steps = 77778, E_Steps = 672, R =  1.4371, succ =  0.4000, FPS =  8.62
12:44:18.918 [INFO] (trainer.py:174) Episode = 173, T_Steps = 78142, E_Steps = 364, R = -0.7654, succ =  0.3500, FPS =  8.46
12:44:26.181 [INFO] (trainer.py:174) Episode = 174, T_Steps = 78176, E_Steps = 34, R = -0.9790, succ =  0.3000, FPS =  4.68
12:45:38.506 [INFO] (trainer.py:174) Episode = 175, T_Steps = 78803, E_Steps = 627, R =  1.4001, succ =  0.3000, FPS =  8.67
12:46:25.577 [INFO] (trainer.py:174) Episode = 176, T_Steps = 79221, E_Steps = 418, R = -0.7332, succ =  0.3000, FPS =  8.88
12:46:32.661 [INFO] (trainer.py:174) Episode = 177, T_Steps = 79256, E_Steps = 35, R = -0.9783, succ =  0.3000, FPS =  4.95
12:47:28.042 [INFO] (trainer.py:174) Episode = 178, T_Steps = 79745, E_Steps = 489, R = -0.6873, succ =  0.2500, FPS =  8.83
12:47:56.142 [INFO] (trainer.py:174) Episode = 179, T_Steps = 79964, E_Steps = 219, R = -0.8597, succ =  0.2500, FPS =  7.79
12:49:01.444 [INFO] (trainer.py:174) Episode = 180, T_Steps = 80533, E_Steps = 569, R = -0.6318, succ =  0.2000, FPS =  8.71
12:49:50.819 [INFO] (trainer.py:174) Episode = 181, T_Steps = 80959, E_Steps = 426, R = -0.7298, succ =  0.2000, FPS =  8.63
12:51:03.425 [INFO] (trainer.py:174) Episode = 182, T_Steps = 81600, E_Steps = 641, R =  1.4081, succ =  0.2000, FPS =  8.83
12:51:40.701 [INFO] (trainer.py:174) Episode = 183, T_Steps = 81921, E_Steps = 321, R = -0.7958, succ =  0.1500, FPS =  8.61
12:52:34.700 [INFO] (trainer.py:174) Episode = 184, T_Steps = 82368, E_Steps = 447, R = -0.7161, succ =  0.1500, FPS =  8.28
12:53:14.414 [INFO] (trainer.py:174) Episode = 185, T_Steps = 82701, E_Steps = 333, R = -0.7864, succ =  0.1500, FPS =  8.39
12:54:28.866 [INFO] (trainer.py:174) Episode = 186, T_Steps = 83345, E_Steps = 644, R =  1.4130, succ =  0.2000, FPS =  8.65
12:55:43.814 [INFO] (trainer.py:174) Episode = 187, T_Steps = 83992, E_Steps = 647, R =  1.4117, succ =  0.2500, FPS =  8.63
12:56:53.726 [INFO] (trainer.py:174) Episode = 188, T_Steps = 84626, E_Steps = 634, R =  1.4061, succ =  0.3000, FPS =  9.07
12:58:08.116 [INFO] (trainer.py:174) Episode = 189, T_Steps = 85262, E_Steps = 636, R =  1.4066, succ =  0.3500, FPS =  8.55
